iter	RMSE
381	10.61882276
382	10.48330467
383	10.35362476
384	10.22263877
385	10.09682706
386	9.955810316
387	9.870572026
388	9.831238458
389	9.697699295
390	9.503528637
391	9.455835949
392	9.272662199
393	9.095896129
394	8.967958047
395	8.860137535
396	8.701642079
397	8.596211936
398	8.444756762
399	8.317415885
400	8.276034421
401	8.140178951
402	8.005867402
403	7.856960576
404	7.713472914
405	7.675422756
406	7.564017882
407	7.436980712
408	7.302860642
409	7.174772492
410	7.088561974
411	7.006489295
412	6.972116798
413	6.938544737
414	6.836565943
415	6.74330444
416	6.633763671
417	6.584430465
418	6.467085809
419	6.433975183
420	6.355024731
421	6.268419943
422	6.164534801
423	6.09408406
424	6.065457572
425	5.975537151
426	5.876925034
427	5.781014991
428	5.75426371
429	5.694785976
430	5.583844204
431	5.511657735
432	5.422733263
433	5.343497685
434	5.277487178
435	5.215069706
436	5.154345035
437	5.095439379
438	5.044328736
439	4.982772458
440	4.910639638
441	4.891904651
442	4.834497627
443	4.816170739
444	4.761240123
445	4.743678592
446	4.690857208
447	4.621830761
448	4.569798779
449	4.518738431
450	4.468567625
451	4.413042708
452	4.374321405
453	4.298878724
454	4.256251976
455	4.20785942
456	4.120250219
457	4.04925362
458	3.968105179
459	3.95355601
460	3.939319754
461	3.873964466
462	3.821612741
463	3.766843088
464	3.738429818
465	3.710854077
466	3.690986311
467	3.624419162
468	3.571685223
469	3.526248175
470	3.475744851
471	3.437163089
472	3.387948775
473	3.338826997
474	3.290920877
475	3.228913962
476	3.188367276
477	3.143713228
478	3.098748288
479	3.054898661
480	3.012138976
481	2.975640549
482	2.934299553
483	2.87557293
484	2.848414893
485	2.809106927
486	2.753777698
487	2.740029415
488	2.706573601
489	2.66091629
490	2.61659194
491	2.563467874
492	2.522417587
493	2.476730906
494	2.433941933
495	2.386146263
496	2.368390574
497	2.329812703
498	2.292572148
499	2.250679526
