Feature,Importance
attendance_lag_1,0.4668720091720347
season_progress,0.1151709630049996
match_importance,0.10691847112595745
goal_diff_last_5,0.0953237807080834
opponent_freq,0.06885574738570628
wins_last_3,0.051411836027639636
points_last_5,0.04446639270811119
has_promotion,0.02102531130426254
is_high_importance,0.015963650601251742
is_weekend,0.013991837961953475
