Feature,Coefficient
has_promotion,-1091.131957274338
is_high_importance,803.605776174027
is_weekend,295.99083160792094
points_last_5,-256.3924111969021
season_progress,231.69359506339342
goal_diff_last_5,187.23569011000558
opponent_freq,154.0867561545234
match_importance,104.19259702274817
wins_last_3,88.25987878284761
attendance_lag_1,0.43576509533731667
