source_name,source_url,match_date,season,competition_name,stage,away_team,matchday,kickoff_time,attendance,home_team,stadium_name,stadium_capacity,is_home_match,result,goals_for,goals_against,opponent_name_raw,opponent_name_normalized
transfermarkt,https://www.transfermarkt.com/oud-heverlee-leuven/spielplan/verein/2727/saison_id/2025/plus/1,2025-08-31,2025/26,Belgian Pro League,,Standard Liege,6,04:00,8252,OH Leuven,King Power at Den Dreef Stadion,10200,True,1:0,1,0,Standard Liège,Standard Liege
transfermarkt,https://www.transfermarkt.com/oud-heverlee-leuven/spielplan/verein/2727/saison_id/2025/plus/1,2025-09-20,2025/26,Belgian Pro League,,La Louvière,8,04:00,6436,OH Leuven,King Power at Den Dreef Stadion,10200,True,1:2,1,2,La Louvière,La Louvière
transfermarkt,https://www.transfermarkt.com/oud-heverlee-leuven/spielplan/verein/2727/saison_id/2025/plus/1,2025-09-26,2025/26,Belgian Pro League,,Anderlecht,9,08:45,8404,OH Leuven,King Power at Den Dreef Stadion,10200,True,1:1,1,1,RSC Anderlecht,Anderlecht
transfermarkt,https://www.transfermarkt.com/oud-heverlee-leuven/spielplan/verein/2727/saison_id/2025/plus/1,2025-10-18,2025/26,Belgian Pro League,,Club Brugge,11,06:15,9545,OH Leuven,King Power at Den Dreef Stadion,10200,True,0:1,0,1,Club Brugge,Club Brugge
transfermarkt,https://www.transfermarkt.com/oud-heverlee-leuven/spielplan/verein/2727/saison_id/2025/plus/1,2025-11-02,2025/26,Belgian Pro League,,Gent,13,04:00,8175,OH Leuven,King Power at Den Dreef Stadion,10200,True,4:0,4,0,KAA Gent,Gent
transfermarkt,https://www.transfermarkt.com/oud-heverlee-leuven/spielplan/verein/2727/saison_id/2025/plus/1,2025-11-23,2025/26,Belgian Pro League,,Sint Truiden,15,07:15,7948,OH Leuven,King Power at Den Dreef Stadion,10200,True,1:2,1,2,Sint-Truiden,Sint Truiden
transfermarkt,https://www.transfermarkt.com/oud-heverlee-leuven/spielplan/verein/2727/saison_id/2025/plus/1,2025-12-07,2025/26,Belgian Pro League,,Zulte Waregem,17,07:15,6912,OH Leuven,King Power at Den Dreef Stadion,10200,True,1:1,1,1,Zulte Waregem,Zulte Waregem
transfermarkt,https://www.transfermarkt.com/oud-heverlee-leuven/spielplan/verein/2727/saison_id/2025/plus/1,2025-12-21,2025/26,Belgian Pro League,,Cercle Brugge,19,07:15,5838,OH Leuven,King Power at Den Dreef Stadion,10200,True,0:2,0,2,Cercle Brugge,Cercle Brugge
transfermarkt,https://www.transfermarkt.com/oud-heverlee-leuven/spielplan/verein/2727/saison_id/2025/plus/1,2026-01-24,2025/26,Belgian Pro League,,Union SG,22,08:45,7323,OH Leuven,King Power at Den Dreef Stadion,10200,True,0:0,0,0,Union SG,Union SG
transfermarkt,https://www.transfermarkt.com/oud-heverlee-leuven/spielplan/verein/2727/saison_id/2025/plus/1,2026-02-01,2025/26,Belgian Pro League,,Mechelen,23,07:15,5919,OH Leuven,King Power at Den Dreef Stadion,10200,True,2:2,2,2,KV Mechelen,Mechelen
transfermarkt,https://www.transfermarkt.com/oud-heverlee-leuven/spielplan/verein/2727/saison_id/2025/plus/1,2026-02-14,2025/26,Belgian Pro League,,FCV Dender EH,25,04:00,5085,OH Leuven,King Power at Den Dreef Stadion,10200,True,3:2,3,2,FCV Dender EH,FCV Dender EH
transfermarkt,https://www.transfermarkt.com/oud-heverlee-leuven/spielplan/verein/2727/saison_id/2025/plus/1,2026-03-07,2025/26,Belgian Pro League,,Westerlo,28,04:00,6565,OH Leuven,King Power at Den Dreef Stadion,10200,True,0:1,0,1,KVC Westerlo,Westerlo
transfermarkt,https://www.transfermarkt.com/oud-heverlee-leuven/spielplan/verein/2727/saison_id/2025/plus/1,2026-03-22,2025/26,Belgian Pro League,,Antwerp,30,06:30,7204,OH Leuven,King Power at Den Dreef Stadion,10200,True,1:0,1,0,Royal Antwerp,Antwerp
transfermarkt,https://www.transfermarkt.com/oud-heverlee-leuven/spielplan/verein/2727/saison_id/2025/plus/1,2025-12-03,2025/26,Belgian Cup,,Club Brugge,Round of 16,08:30,8028,OH Leuven,King Power at Den Dreef Stadion,10200,True,1:2,1,2,Club Brugge,Club Brugge
