feature_set,feature_count,features,mae,rmse,r2,mape,median_abs_error,rf_mae,rf_rmse,rf_r2,rf_mape,rf_median_abs_error
minimal_plus_ticketing,5,stage|away_team|matchday|seasonpass_holders|pct_free_tickets,851.011328125,1199.0349026979695,-0.35135941407003934,15.733877949753145,463.302734375,1963.268421732752,2166.994957732067,-3.413905417106963,37.171205784914655,2178.5158188701143
minimal_plus_lag,5,stage|away_team|matchday|attendance_last_match|attendance_last_3_avg,927.5571614583333,1079.9611284323253,-0.09628499301506577,17.18542768763203,798.5751953125,882.4365642894657,1012.4418522527442,0.03650958067481824,17.18513568511981,926.7201195046209
full_current,24,season|stage|competition_name|away_team|matchday|weekday_name|is_weekend|is_midweek|is_public_holiday|is_school_holiday_flanders|kickoff_hour|month|weather_temp_mean_c|weather_rain_mm|weather_windspeed_max_kmh|seasonpass_holders|promo_tickets_total|pct_free_tickets|has_promotion|ohl_interest|num_articles|attendance_last_match|attendance_last_3_avg|avg_days_to_match,1107.7858723958334,1415.8854667087098,-0.8843582312783926,21.76088315537498,878.5107421875,1328.9285450567145,1692.742139271683,-1.6933254354450358,26.04024054177324,990.520457671958
compact_best_practice,7,stage|away_team|matchday|attendance_last_match|attendance_last_3_avg|seasonpass_holders|ohl_interest,1136.8161783854166,1517.2197061900501,-1.1637355013938202,22.360628955377614,773.61083984375,1477.9187725918732,1832.0687606052804,-2.154937498554236,28.74582324049398,1100.7508518491031
minimal_plus_timing,6,stage|away_team|matchday|weekday_name|kickoff_hour|month,1347.9017252604167,1658.7035486652735,-1.5860967513406443,23.679327846137184,1023.23291015625,1399.4574844441136,1631.9572243473003,-1.503368386255309,26.205660892374787,1216.3748048517064
minimal_core,3,stage|away_team|matchday,1482.33974609375,1744.763401939276,-1.861411425781378,26.41603353907663,1424.4130859375,1429.8694838037675,1630.54535344851,-1.4990387334534487,26.429368064126223,1220.122785667114
minimal_plus_media,5,stage|away_team|matchday|ohl_interest|num_articles,2101.822721354167,2422.5269430278972,-4.516256509625725,38.1951047909582,2361.6865234375,2115.830104615209,2451.991930661954,-4.651260075755434,39.49518899184165,2018.7007715902237
