model,mae_without_weather,rmse_without_weather,mape_without_weather,mae_with_weather,rmse_with_weather,mape_with_weather,delta_mae_pct
ensemble_raw,795.0042901746817,1031.6687031062486,15.68838497789254,795.0042901746816,1031.6687031062484,15.688384977892536,-1.4300153989940894e-14
linear_regression_raw,2103.1450337534493,2470.4026937130693,39.247902066852156,2103.1450337534493,2470.4026937130693,39.247902066852156,0.0
mean_baseline,1523.1380952380957,1748.7640548077823,30.122711287106373,1523.1380952380957,1748.7640548077823,30.122711287106373,0.0
opponent_mean_baseline,1547.915238095238,1900.0341770990249,29.031421588668987,1547.915238095238,1900.0341770990249,29.031421588668987,0.0
random_forest_raw,882.4890846646855,1067.7320526388896,17.198759312400398,882.4890846646853,1067.7320526388899,17.198759312400405,-2.576504110865303e-14
xgboost_raw,803.3078125,1079.3120478228022,15.67290132030874,803.3078125,1079.3120478228022,15.67290132030874,0.0
